x,y
12.645728,1.0410166
-29.47934,-8.99141
1.9561582,4.9752083
-22.985924,3.6378772
2.8515465,1.087131
6.2181277,0.028417673
-35.908184,-4.288378
56.322807,7.1188946
-36.02662,-1.5162802
-8.239841,5.373179
68.21694,11.091663
67.96312,-15.08016
1.5259995,-28.93164
59.26744,8.442615
-29.061802,12.85607
6.3769403,-26.72503
14.717701,16.47909
-28.213615,-29.47693
-33.5199,-3.4723678
2.280173,27.916958
-39.31331,-0.46758547
-28.656965,14.471098
7.456037,26.850258
53.695595,-8.108968
68.99037,0.05718002
-31.149265,-7.2264576
71.04058,-6.0338
-22.00961,-26.637611
-34.393406,-3.3647344
15.939666,13.477609
-18.399431,-21.763489
5.7894273,-7.3355775
-36.040672,10.156841
-24.358078,3.2110374
-38.960285,-23.541958
-39.535755,7.190739
58.175594,-16.906258
-37.910255,-10.420353
-39.712852,16.20406
-23.68372,24.624727
15.528878,5.5838447
51.94343,-14.359946
15.53669,-18.094707
70.19626,6.80666
69.85925,3.4238725
-28.13981,-9.261758
-17.897556,-3.2870395
60.77717,-10.9632845
-17.778666,-17.265545
58.582146,-10.0904875
-18.439545,6.9732437
-36.132996,2.9949863
-33.50164,-1.4026096
13.229712,-19.268541
-27.749405,6.142213
60.783253,-8.004256
62.63866,8.1494875
3.2663813,-24.607378
-16.492918,-9.485681
60.707657,9.793003
-0.31125706,3.7569509
-27.680807,-9.010477
-13.691145,-4.0018225
13.747586,13.185036
57.73823,-6.6663766
-44.120327,12.061722
58.119793,-6.127604
8.387099,12.0246
-3.390471,22.393925
-30.342266,-8.885566
-1.9356841,32.10404
63.65741,-14.327429
-29.82136,-3.8589787
-35.84036,-4.1240373
5.568366,15.138044
-34.634796,-6.750162
3.7440221,26.352587
-24.741932,-10.921322
-3.8181226,14.263338
-17.595625,15.971756
-30.455723,-12.138778
-24.22261,22.788275
-2.091364,28.216288
-17.616642,-22.826319
9.903631,2.104407
-6.5484834,27.037294
-35.567566,19.322498
3.722512,22.18066
60.071354,-17.014795
7.8369308,21.528717
9.952064,-14.726941
-15.394633,-18.344046
9.019201,1.595437
-32.589855,12.626583
0.6365298,20.78041
4.083044,3.7135828
-0.79021543,-20.151964
-9.532056,26.21979
15.284513,-17.049618
-35.984875,7.201542
49.296333,-10.974015
-29.963575,-13.586138
-1.3582717,-19.19253
-8.559383,10.512567
2.827397,-8.490628
73.0795,-2.1053348
-20.394884,-17.660887
49.64745,-13.867636
-41.10799,-6.2242002
-32.86181,7.9373984
-19.064728,6.5875354
0.17423674,26.321993
-27.792925,-22.99766
-22.400213,-1.6205335
-24.02597,0.10209472
-9.654598,21.83084
-4.562684,-20.22998
0.27629846,-23.361124
-9.316126,23.438633
13.262153,18.837723
-2.1791883,-23.995434
69.031624,4.3958144
72.59593,1.4693922
-25.771095,13.5913515
7.5254693,10.213602
-5.2363467,23.430256
10.696979,-12.876399
68.47126,-14.960951
-13.95037,23.701653
3.0187953,14.0907135
-32.023808,-6.1240234
-13.784684,-15.358403
63.10552,-3.5745704
64.98597,-12.71292
-27.094406,-7.063195
-29.997194,-1.8138393
-17.362595,20.990614
-6.00138,-3.3228855
-25.997826,-3.345204
56.20373,-11.946258
-7.347706,28.415636
-41.17778,11.760698
-38.889458,-7.3278284
-46.361362,16.26295
58.145187,-12.919354
-36.387447,16.187744
11.756612,20.857378
-4.527103,-21.425236
55.26134,-7.8298025
-35.94777,-7.126885
19.527586,-1.6922061
-23.224998,0.32608348
1.6405274,14.752682
-0.65599364,9.357696
1.2560943,8.169163
-33.69017,12.09105
68.80052,-5.6997576
13.400128,8.40388
15.03806,2.0782266
1.6327857,28.12643
-28.780119,5.4964495
-10.857732,28.684963
-40.629917,-1.4952283
-8.122473,-7.215286
65.54859,-15.850291
17.823494,10.346901
-4.066011,4.6813455
-43.230988,-0.85037315
-21.49048,-9.801882
-26.920456,15.625537
-11.019037,5.203485
62.37844,-0.74159265
57.878803,-18.91421
-14.108658,-19.794844
13.689932,-4.187629
-17.187271,-24.805819
53.126472,-14.455938
-26.341234,-12.493091
-17.90249,-20.252893
-19.401253,-13.607326
12.734086,-20.042759
-30.747665,1.714678
17.010077,5.750706
5.4150085,27.007484
-35.93063,-7.2210145
-18.184788,-25.987474
-31.060318,23.463564
70.37884,-6.205449
3.4509318,7.41072
-11.043008,-8.410365
-7.4933314,13.739616
-35.64001,-23.623945
-46.216274,-11.792109
57.528534,-2.8819325
9.507582,-17.434813
-2.177487,-3.5264826
-24.705557,-10.071084
-7.5195737,18.66919
0.9714061,-28.50381
